time_ms,neuron_0_voltage,neuron_1_voltage
3.195011337663999029e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.197278911359999043e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.199546485055999057e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.201814058751999426e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.204081632447999084e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.206349206143998742e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.208616779839999111e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.210884353535998770e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.213151927231999849e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.215419500927999508e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.217687074623999877e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.219954648319999535e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.222222222015999193e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.224489795711999562e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.226757369407999221e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.229024943103999590e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.231292516799999248e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.233560090495999617e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.235827664191999276e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.238095237887999644e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.240362811583999303e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.242630385279999672e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.244897958975999330e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.247165532671998989e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.249433106367999358e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.251700680063999016e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.253968253759999385e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.256235827455999043e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.258503401151999412e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.260770974847999071e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.263038548543999440e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.265306122239999098e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.267573695935998757e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.269841269631999126e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.272108843327998784e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.274376417023999153e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.276643990719999522e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.278911564415999891e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.281179138111999549e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.283446711807999208e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.285714285503999577e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.287981859199999235e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.290249432895999604e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.292517006591999262e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.294784580287999631e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.297052153983999290e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.299319727679999659e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.301587301375999317e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.303854875071999686e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.306122448767999344e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.308390022463999003e+01,0.000000000000000000e+00,0.000000000000000000e+00
